epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1709.75,1.49401,1.4065,1.41627,0.63162,0.69672,0.69125,0.37036,1.61134,1.32438,1.53641,0.000828443,0.000828443,0.000828443
43,1748.19,1.49849,1.38127,1.42356,0.68021,0.71833,0.73922,0.39162,1.58855,1.17019,1.51181,0.000820525,0.000820525,0.000820525
44,1787.43,1.49553,1.42648,1.4299,0.61474,0.72401,0.68745,0.37137,1.64836,1.25094,1.5524,0.000812468,0.000812468,0.000812468
45,1826.63,1.46988,1.35449,1.40638,0.60697,0.7395,0.69647,0.37351,1.58534,1.23589,1.48971,0.000804277,0.000804277,0.000804277
46,1865.18,1.48599,1.36063,1.39107,0.63783,0.73793,0.72618,0.39913,1.56324,1.15871,1.48544,0.000795954,0.000795954,0.000795954
47,1906.85,1.49146,1.37264,1.41476,0.64673,0.7235,0.69768,0.37238,1.60911,1.37127,1.52358,0.000787503,0.000787503,0.000787503
48,1946.58,1.46409,1.3447,1.39212,0.64589,0.73838,0.69305,0.37261,1.61792,1.2908,1.52836,0.000778929,0.000778929,0.000778929
49,1985.92,1.45857,1.33776,1.39151,0.68731,0.67357,0.73147,0.39813,1.59787,1.26663,1.5249,0.000770234,0.000770234,0.000770234
50,2025.29,1.46368,1.33899,1.40628,0.68375,0.70091,0.72699,0.39681,1.59147,1.21508,1.5027,0.000761423,0.000761423,0.000761423
51,2064.54,1.44529,1.31958,1.39427,0.70484,0.70874,0.73053,0.38054,1.6315,1.14268,1.53276,0.0007525,0.0007525,0.0007525
52,2104.33,1.44042,1.28964,1.37892,0.66013,0.72956,0.70957,0.39337,1.58094,1.18001,1.51416,0.000743468,0.000743468,0.000743468
53,2143.43,1.44453,1.29464,1.37604,0.66857,0.72651,0.71103,0.38294,1.58846,1.17042,1.53762,0.000734332,0.000734332,0.000734332
54,2182.86,1.42447,1.26864,1.36938,0.66871,0.74188,0.72578,0.39255,1.57901,1.19062,1.50241,0.000725094,0.000725094,0.000725094
55,2222.57,1.43825,1.29556,1.38363,0.65612,0.74172,0.72388,0.39612,1.59531,1.18874,1.51109,0.000715761,0.000715761,0.000715761
56,2262.43,1.41999,1.24751,1.36178,0.68707,0.71075,0.73733,0.40329,1.5691,1.20522,1.49521,0.000706335,0.000706335,0.000706335
57,2302.01,1.40941,1.24012,1.3592,0.65689,0.77095,0.74686,0.41098,1.56629,1.19921,1.48928,0.00069682,0.00069682,0.00069682
58,2343.93,1.43259,1.27249,1.37233,0.63769,0.74395,0.73498,0.40135,1.55763,1.22563,1.48427,0.000687222,0.000687222,0.000687222
59,2386.99,1.40594,1.23241,1.36429,0.66828,0.73927,0.73397,0.39705,1.60588,1.16015,1.51353,0.000677543,0.000677543,0.000677543
60,2425.66,1.39818,1.21054,1.35056,0.63149,0.76805,0.74388,0.40733,1.565,1.16504,1.48757,0.000667789,0.000667789,0.000667789
61,2464.05,1.41611,1.2381,1.36217,0.67558,0.7558,0.73485,0.39361,1.58839,1.15864,1.48737,0.000657963,0.000657963,0.000657963
62,2502.44,1.41257,1.20666,1.35172,0.66579,0.7243,0.73409,0.40061,1.57385,1.24562,1.48984,0.000648071,0.000648071,0.000648071
63,2540.77,1.38736,1.2238,1.35283,0.68079,0.74185,0.73102,0.40548,1.58012,1.2481,1.48015,0.000638115,0.000638115,0.000638115
64,2579.45,1.39578,1.20722,1.3509,0.66671,0.74012,0.73696,0.40293,1.55619,1.18793,1.49179,0.000628101,0.000628101,0.000628101
65,2617.86,1.39043,1.18953,1.34173,0.70129,0.73444,0.73539,0.39125,1.60831,1.148,1.51679,0.000618034,0.000618034,0.000618034
66,2656.55,1.37341,1.17899,1.33816,0.66124,0.73944,0.72235,0.39721,1.56534,1.20907,1.4691,0.000607916,0.000607916,0.000607916
67,2695.15,1.38791,1.19692,1.34678,0.67089,0.76479,0.73899,0.40911,1.53115,1.09485,1.45776,0.000597754,0.000597754,0.000597754
68,2737.22,1.38451,1.17567,1.34051,0.66651,0.72747,0.72768,0.40673,1.52611,1.19677,1.4632,0.000587551,0.000587551,0.000587551
69,2776.78,1.38138,1.18971,1.33394,0.65467,0.7496,0.71999,0.40111,1.56187,1.12388,1.48761,0.000577311,0.000577311,0.000577311
70,2816.58,1.37375,1.1724,1.34148,0.66255,0.70733,0.70319,0.38348,1.61041,1.23513,1.52791,0.00056704,0.00056704,0.00056704
71,2856.27,1.3702,1.161,1.33513,0.68375,0.77911,0.74061,0.40355,1.55072,1.05769,1.47585,0.000556742,0.000556742,0.000556742
72,2895.74,1.34444,1.14945,1.32497,0.64303,0.72126,0.70067,0.38332,1.57369,1.21102,1.50835,0.000546421,0.000546421,0.000546421
73,2935.9,1.36043,1.16401,1.3227,0.69315,0.7251,0.7272,0.39851,1.56951,1.14025,1.49266,0.000536081,0.000536081,0.000536081
74,2975.59,1.35267,1.14119,1.32348,0.67,0.72816,0.71992,0.3977,1.55234,1.19646,1.45765,0.000525728,0.000525728,0.000525728
75,3014.84,1.33455,1.11886,1.30826,0.6693,0.76514,0.74146,0.40668,1.51928,1.12065,1.45858,0.000515366,0.000515366,0.000515366
76,3054.96,1.33947,1.11318,1.31046,0.68135,0.75791,0.74637,0.4175,1.52261,1.14794,1.45032,0.000505,0.000505,0.000505
77,3098.05,1.33166,1.11834,1.30372,0.66842,0.72631,0.7025,0.38929,1.57491,1.19379,1.50386,0.000494634,0.000494634,0.000494634
78,3142.12,1.33961,1.10185,1.30527,0.67695,0.74816,0.71697,0.3994,1.54767,1.14362,1.48072,0.000484272,0.000484272,0.000484272
79,3183.12,1.34903,1.11802,1.31057,0.67238,0.75825,0.72602,0.39873,1.57396,1.18458,1.49333,0.000473919,0.000473919,0.000473919
80,3223.27,1.31495,1.09953,1.2906,0.70071,0.70939,0.71443,0.3895,1.57345,1.1344,1.49531,0.000463579,0.000463579,0.000463579
81,3264.41,1.31365,1.0799,1.2922,0.68544,0.74067,0.71052,0.3864,1.60385,1.19091,1.52027,0.000453258,0.000453258,0.000453258
82,3308.96,1.32914,1.09345,1.30325,0.67943,0.72501,0.71214,0.38828,1.59351,1.14584,1.51797,0.00044296,0.00044296,0.00044296
83,3355.77,1.31885,1.09808,1.30443,0.68667,0.73539,0.72498,0.39806,1.57723,1.19335,1.4889,0.000432689,0.000432689,0.000432689
84,3399.01,1.29759,1.06324,1.28336,0.70488,0.73191,0.71295,0.3928,1.568,1.1284,1.49524,0.000422449,0.000422449,0.000422449
85,3442.88,1.29156,1.06951,1.291,0.67114,0.77219,0.7305,0.40171,1.56907,1.09789,1.50905,0.000412246,0.000412246,0.000412246
86,3486.5,1.29761,1.05719,1.29389,0.70096,0.75273,0.70523,0.39476,1.57596,1.11694,1.50792,0.000402084,0.000402084,0.000402084
87,3528.42,1.29585,1.05442,1.28472,0.69586,0.74054,0.7325,0.40211,1.57092,1.1316,1.48288,0.000391966,0.000391966,0.000391966
88,3571.46,1.30771,1.07226,1.2887,0.6942,0.6975,0.70968,0.39565,1.58074,1.17688,1.49887,0.000381899,0.000381899,0.000381899
89,3614.56,1.27865,1.04463,1.28425,0.69639,0.74054,0.73503,0.40838,1.58146,1.16959,1.48378,0.000371885,0.000371885,0.000371885
90,3657.48,1.27866,1.02963,1.26987,0.64132,0.75572,0.71857,0.40705,1.56806,1.19511,1.49632,0.000361929,0.000361929,0.000361929
